Load,cof
173.40034,1.401976763
174.1367856,1.401917956
175.6096769,1.401800341
177.0825681,1.401682727
178.5411441,1.398326514
180.0140353,1.3982089
181.4869266,1.398091286
182.9598179,1.397973671
183.6962635,1.397914864
185.9056004,1.397738442
185.9056004,1.397738442
186.6277307,1.394441037
186.6277307,1.394441037
188.8227522,1.391026018
189.5591979,1.390967211
190.2956435,1.390908404
191.7685348,1.390790789
192.5049804,1.390731982
193.241426,1.390673175
194.7143173,1.39055556
195.450763,1.390496753
196.9236542,1.390379139
199.1329911,1.390202717
200.6058824,1.390085102
202.0787737,1.389967488
202.8152193,1.389908681
205.0102409,1.386493661
205.7466865,1.386434854
207.2195778,1.38631724
208.692469,1.386199625
210.1653603,1.386082011
210.1653603,1.386082011
210.9018059,1.386023204
212.3746972,1.385905589
213.1111428,1.385846782
213.8475885,1.385787975
214.5840341,1.385729168
214.5840341,1.385729168
214.5840341,1.385729168
216.793371,1.385552746
216.793371,1.385552746
218.2662623,1.385435131
219.0027079,1.385376324
220.4755992,1.38525871
221.2120448,1.385199903
223.4213817,1.385023481
223.4213817,1.385023481
224.143512,1.381726076
226.3528489,1.381549654
229.2986315,1.381314425
230.7572074,1.377958213
230.7572074,1.377958213
141.747493,1.407744071
142.4839386,1.407685264
143.2203843,1.407626457
144.6932755,1.407508842
144.6932755,1.407508842
51.19331054,1.421454555
51.19331054,1.421454555
51.92975617,1.421395747
55.61198435,1.421101711
57.82132126,1.42092529
59.29421253,1.420807675
62.23999507,1.420572446
62.23999507,1.420572446
232.244414,1.381079197
233.7316206,1.38420018
237.4138488,1.383906144
238.1502945,1.383847336
238.1502945,1.383847336
239.6231857,1.383729722
241.8325226,1.3835533
242.5546529,1.380255895
243.2767832,1.376958491
245.4718047,1.373543471
247.6811416,1.373367049
249.1397176,1.370010837
251.3490545,1.369834416
252.0855001,1.369775608
252.8219457,1.369716801
255.0312826,1.36954038
258.7135108,1.369246343
260.9228477,1.369069922
260.9228477,1.369069922
261.6592934,1.369011115
263.1321846,1.3688935
264.6050759,1.368775886
265.3415215,1.368717078
266.0779672,1.368658271
267.5508584,1.368540657
269.7601954,1.368364235
271.9695323,1.368187813
272.6916625,1.364890409
275.6088144,1.358177984
277.8181513,1.358001563
281.5003794,1.357707526
284.446162,1.357472298
286.6411835,1.354057278
288.8505204,1.353880857
290.3234117,1.353763242
291.796303,1.353645628
292.5327486,1.35358682
294.0056399,1.353469206
294.0056399,1.353469206
296.2149768,1.353292784
298.4099983,1.349877765
298.4099983,1.349877765
298.4099983,1.349877765
305.0380091,1.3493485
305.0380091,1.3493485
303.5651178,1.349466114
305.0380091,1.3493485
307.9837916,1.349113271
309.4566829,1.348995657
310.1931285,1.348936849
311.6373891,1.34234204
313.095965,1.338985827
315.3053019,1.338809406
318.2510844,1.338574177
