Speed,RPM
152.4189064,14076.11175
153.9281602,14171.57207
155.1357879,14251.11791
156.642795,14314.80233
157.5487966,14378.4337
158.4536748,14426.17712
159.6613026,14505.72297
160.2645547,14537.55192
160.5684276,14585.24229
162.6775634,14664.86771
163.583565,14728.49908
164.1856938,14744.44008
165.0916955,14808.07145
166.2970764,14855.84139
166.8992052,14871.78239
168.4073356,14951.35476
168.4073356,14951.35476
168.4017188,14871.91501
168.3916084,14728.92346
168.3871149,14665.37167
168.3837448,14617.70782
168.3792513,14554.15602
168.3747578,14490.60422
168.3736344,14474.71627
168.670767,14427.07895
168.6685202,14395.30305
168.6662735,14363.52715
168.66178,14299.97535
168.6584099,14252.3115
168.6539164,14188.7597
168.652793,14172.87175
168.6494229,14125.2079
168.9476788,14093.45853
168.9443087,14045.79468
168.9375685,13950.46698
168.9341983,13902.80313
168.9308282,13855.13928
169.2245907,13759.83811
169.2189738,13680.39836
169.2144803,13616.84656
169.2122335,13585.07066
170.1081248,13505.71049
170.1159884,13616.92613
172.5289971,13744.24192
174.3387536,13839.72877
177.0511416,13951.18313
178.8608981,14046.66997
180.3679052,14110.35439
181.5732862,14158.12434
183.0802932,14221.80876
183.9874182,14301.32808
185.1939225,14364.98597
187.0025557,14444.58487
187.9074339,14492.32829
189.1139383,14555.98618
189.7171904,14587.81513
190.9225714,14635.58508
191.8263263,14667.44055
193.0305839,14699.32254
194.2382116,14778.86839
195.4447159,14842.52628
196.3484708,14874.38175
197.5538518,14922.1517
197.5538518,14922.1517
197.5538518,14922.1517
197.5459881,14810.93605
197.5392479,14715.60835
197.5325077,14620.28066
197.5280142,14556.72886
197.5212739,14461.40116
197.5201505,14445.51321
197.5201505,14445.51321
197.5179038,14413.73731
197.515657,14381.96141
197.5122869,14334.29756
197.5100402,14302.52166
197.5100402,14302.52166
197.5100402,14302.52166
197.5077934,14270.74576
197.5055467,14238.96987
197.5032999,14207.19397
197.5021765,14191.30602
197.5010532,14175.41807
197.4999298,14159.53012
197.497683,14127.75422
197.4965597,14111.86627
197.4943129,14080.09037
197.4909428,14032.42652
197.4875727,13984.76267
197.4819558,13905.32292
197.7790884,13857.6856
197.7757183,13810.02175
197.7723481,13762.3579
197.7678546,13698.8061
198.0661106,13667.05673
198.6693628,13698.88567
199.881484,13841.98332
201.3896144,13921.55569
202.8954981,13969.35216
205.6067627,14064.91857
208.6196534,14176.39946
210.4294099,14271.8863
211.6359143,14335.5442
212.5385458,14351.51172
213.7450501,14415.16961
213.7450501,14415.16961
213.7461735,14431.05756
215.2531806,14494.74198
216.1558121,14510.7095
217.0618137,14574.34088
218.5676974,14622.13735
218.8715702,14669.82772
219.7742017,14685.79524
221.2800854,14733.59171
222.1838403,14765.44718
223.3903446,14829.10508
224.898475,14908.67744
225.8022299,14940.53292
226.4043587,14956.47391
227.6097397,15004.24386
227.9102424,15004.27038
227.9068722,14956.60653
227.8990086,14845.39089
227.8922684,14750.06319
227.8888983,14702.39934
227.8832814,14622.95959
227.8754178,14511.74395
227.864184,14352.86445
228.1556997,14225.78738
228.4517089,14162.2621
228.4472154,14098.7103
228.4438453,14051.04645
228.4393518,13987.49466
228.4314882,13876.27901
228.4281181,13828.61516
230.2378746,13924.102
233.8562642,14099.18774
235.3643946,14178.76011
236.5697756,14226.53005
237.7740332,14258.41205
238.376162,14274.35305
239.2799169,14306.20852
239.8820457,14322.14951
240.7869239,14369.89294
241.9911815,14401.77493
243.800938,14497.26177
245.006319,14545.03172
245.6084478,14560.97272
246.8127054,14592.85471
248.0180863,14640.62466
248.9218412,14672.48013
250.7304743,14752.07902
251.6342292,14783.93449
253.1401129,14831.73096
253.441739,14847.64544
255.8513775,14927.29738
256.4535063,14943.23838
256.1507569,14911.43595
255.8423905,14800.19378
255.8345269,14688.97813
255.8300334,14625.42634
255.8244165,14545.98659
255.8210464,14498.32274
255.8176763,14450.65889
255.8109361,14355.33119
255.8019491,14228.2276
255.7974556,14164.6758
255.7884686,14037.5722
256.0811076,13926.38308
256.3782402,13878.74575
256.6776196,13862.88433
258.1846266,13926.56875
260.2937625,14006.19416
262.4017749,14069.93163
265.7117982,14133.77519
267.5181846,14181.59819
269.9289466,14277.13808
272.036959,14340.87555
273.8444688,14404.58649
275.6531019,14484.18538
277.4617351,14563.78427
279.872497,14659.32417
282.8876345,14802.58095
284.6985143,14913.95575
285.3006431,14929.89674
285.5966523,14866.37147
285.5899121,14771.04377
286.1841773,14675.76912
286.4790631,14596.3559
286.475693,14548.69205
286.4689527,14453.36435
286.4622125,14358.03665
286.4599657,14326.26075
286.457719,14294.48485
286.7537282,14230.95958
286.7447412,14103.85598
286.738001,14008.52829
287.0317634,13913.22711
287.3187856,13722.59824
287.3187856,13722.59824
287.3142921,13659.04644
287.310922,13611.38259
287.3053051,13531.94285
287.2974415,13420.7272
287.2951948,13388.9513
